Date,VOO,SPY,IVV,VXX,HYG,LQD,IEF,CAR,CVNA,AEVA,CYN,IBIT,MSTR
2010-09-20,80.04939,87.41174,87.64487,,38.76791,65.89406,71.36966,10.73621,,,,,8.68700
2010-09-21,79.80550,87.23569,87.43197,,38.70270,66.39643,72.03526,10.65070,,,,,8.57000
2010-09-22,79.37875,86.80710,87.04418,,38.54609,66.35506,72.14494,10.47018,,,,,8.53200
2010-09-23,78.72338,86.10297,86.32937,,38.44609,66.40236,72.24736,10.05213,,,,,8.42900
2010-09-24,80.33087,87.87858,88.03908,,38.59830,66.25455,71.88893,10.58420,,,,,8.72400
2010-09-27,79.94779,87.45765,87.63384,,38.66356,66.59735,72.44482,10.59370,,,,,8.77300
2010-09-28,80.46883,87.76379,88.02379,,38.72008,66.71555,72.68628,10.75521,,,,,8.64800
2010-09-29,80.08568,87.61070,87.80204,,38.81142,66.65054,72.51068,10.94524,,,,,8.72500
2010-09-30,79.96310,87.35046,87.54207,,39.00711,66.83969,72.42290,11.06875,,,,,8.66100
2010-10-01,80.23895,87.71786,87.93204,,39.05835,66.51573,72.46175,11.13526,,,,,8.78000
2010-10-04,79.56466,87.05967,87.27447,,38.92264,66.62251,72.71843,11.12576,,,,,8.56100
2010-10-05,81.31165,88.81229,88.99487,,39.06271,66.75901,72.73306,11.21127,,,,,8.75900
2010-10-06,81.17374,88.80467,89.01015,,39.02769,67.19212,73.20230,10.70771,,,,,8.79200
2010-10-07,81.12777,88.69753,88.92606,,39.10648,67.17429,73.27564,10.58420,,,,,8.86600
2010-10-08,81.74075,89.19502,89.40012,,39.23782,67.10902,73.30498,10.64120,,,,,8.83000
2010-10-11,81.60283,89.27921,89.49953,,39.32100,67.16840,73.37828,10.75521,,,,,8.80300
2010-10-12,82.07788,89.55473,89.77477,,39.28598,67.06752,73.16564,10.81222,,,,,8.79700
2010-10-13,82.56828,90.25122,90.43999,,39.41732,67.03194,73.16564,11.04025,,,,,8.85300
2010-10-14,82.26176,89.89913,90.21062,,39.22906,66.49203,72.74770,10.60320,,,,,8.93800
2010-10-15,82.41502,90.08282,90.31767,,39.32978,66.07074,72.43244,10.49869,,,,,8.99500
2010-10-18,83.01267,90.52676,90.73058,,39.27722,66.52759,72.77710,10.79322,,,,,8.95100
2010-10-19,81.69475,89.34042,89.55304,,39.27284,66.53352,73.02634,10.40367,,,,,8.76300
2010-10-20,82.56828,90.21295,90.39410,,39.39542,66.65221,72.98235,10.75521,,,,,8.75300
2010-10-21,82.69085,90.41194,90.62350,,39.33413,66.47425,72.57905,10.67921,,,,,8.71500
2010-10-22,82.89005,90.58033,90.82230,,39.51362,66.55732,72.60110,10.65070,,,,,9.05600
2010-10-25,83.13528,90.84821,91.02878,,39.66685,66.79459,72.57905,10.84072,,,,,8.95300
2010-10-26,83.11992,90.86348,91.08995,,39.72813,66.43862,72.09513,11.04975,,,,,8.99300
